"location","Keyword","Currency","Avg. monthly searches","Three month change","YoY change","Competition","Competition (indexed value)","Top of page bid (low range)","Top of page bid (high range)","Ad impression share","Organic impression share","Organic average position","In account?","In plan?","Searches: May 2019","Searches: Jun 2019","Searches: Jul 2019","Searches: Aug 2019","Searches: Sep 2019","Searches: Oct 2019","Searches: Nov 2019","Searches: Dec 2019","Searches: Jan 2020","Searches: Feb 2020","Searches: Mar 2020","Searches: Apr 2020","Searches: May 2020","Searches: Jun 2020","Searches: Jul 2020","Searches: Aug 2020","Searches: Sep 2020","Searches: Oct 2020","Searches: Nov 2020","Searches: Dec 2020","Searches: Jan 2021","Searches: Feb 2021","Searches: Mar 2021","Searches: Apr 2021","Searches: May 2021","Searches: Jun 2021","Searches: Jul 2021","Searches: Aug 2021","Searches: Sep 2021","Searches: Oct 2021","Searches: Nov 2021","Searches: Dec 2021","Searches: Jan 2022","Searches: Feb 2022","Searches: Mar 2022","Searches: Apr 2022","Searches: May 2022","Searches: Jun 2022","Searches: Jul 2022","Searches: Aug 2022","Searches: Sep 2022","Searches: Oct 2022","Searches: Nov 2022","Searches: Dec 2022","Searches: Jan 2023","Searches: Feb 2023","Searches: Mar 2023","Searches: Apr 2023"
"Victoria Australia","traeger","USD","500","0%","0%","High","100","0.13","0.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","pitboss","USD","500","0%","0%","High","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","z grill","USD","500","0%","0%","High","83","1.72","5.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","campchef","USD","500","0%","0%","High","100","0.12","0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","weber","USD","5000","0%","0%","High","100","0.21","1.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","bbq","USD","50000","0%","0%","High","100","0.11","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","bbq galore","USD","50000","0%","0%","High","100","0.17","1.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","smoker","USD","5000","0%","0%","High","100","0.15","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","electric smoker","USD","500","0%","0%","High","100","0.13","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","pellet smoker","USD","5000","900%","900%","High","100","0.15","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","pellet grill","USD","500","0%","-90%","High","100","0.26","0.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","traeger","USD","5000","0%","-90%","High","100","0.13","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","pitboss","USD","500","0%","0%","High","78","0.32","1.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","z grill","USD","500","0%","0%","High","76","1.58","5.91","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","campchef","USD","500","0%","0%","High","100","0.10","0.32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","weber","USD","5000","0%","0%","High","100","0.24","1.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","bbq","USD","50000","0%","0%","High","100","0.11","0.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","bbq galore","USD","50000","0%","0%","High","100","0.17","1.12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","smoker","USD","5000","0%","0%","High","100","0.15","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","electric smoker","USD","500","0%","0%","High","100","0.15","0.80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","pellet smoker","USD","5000","0%","0%","High","100","0.16","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","pellet grill","USD","500","0%","0%","High","100","0.25","0.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","traeger","USD","500000","0%","0%","High","100","0.29","1.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","pitboss","USD","500000","900%","0%","High","100","0.05","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","z grill","USD","50000","0%","0%","High","100","0.31","68.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","campchef","USD","50000","0%","0%","High","100","0.41","19.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","weber","USD","500000","0%","0%","High","100","0.20","1.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","bbq","USD","5000000","0%","0%","High","95","0.18","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","bbq galore","USD","500000","0%","-90%","High","100","0.17","1.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","smoker","USD","500000","0%","0%","High","100","0.21","0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","electric smoker","USD","50000","0%","0%","High","97","0.39","6.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","pellet smoker","USD","50000","0%","0%","High","100","0.24","1.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","pellet grill","USD","500000","900%","0%","High","100","0.35","5.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","traeger","USD","500000","0%","0%","High","100","0.29","1.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","pitboss","USD","500000","900%","0%","High","100","0.05","0.54","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","z grill","USD","50000","0%","0%","High","100","0.31","68.40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","campchef","USD","50000","0%","0%","High","100","0.41","19.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","weber","USD","500000","0%","0%","High","100","0.20","1.87","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","bbq","USD","5000000","0%","0%","High","95","0.18","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","bbq galore","USD","500000","0%","-90%","High","100","0.17","1.10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","smoker","USD","500000","0%","0%","High","100","0.21","0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","electric smoker","USD","50000","0%","0%","High","97","0.39","6.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","pellet smoker","USD","50000","0%","0%","High","100","0.24","1.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","pellet grill","USD","500000","900%","0%","High","100","0.35","5.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","traeger","USD","50","0%","0%","High","99","0.13","0.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","pitboss","USD","50","0%","0%","Low","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","z grill","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","campchef","USD","50","0%","0%","High","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","weber","USD","500","900%","0%","High","100","0.17","1.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","bbq","USD","500","0%","0%","High","100","0.10","0.48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","bbq galore","USD","500","0%","0%","High","98","0.19","1.60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","smoker","USD","50","0%","0%","High","100","0.11","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","electric smoker","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","pellet smoker","USD","50","0%","0%","High","100","0.13","1.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","pellet grill","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","traeger","USD","50","0%","0%","High","100","0.14","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","pitboss","USD","50","0%","0%","High","93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","z grill","USD","50","0%","0%","High","72","2.30","5.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","campchef","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","weber","USD","500","0%","0%","High","100","0.19","1.03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","bbq","USD","500","0%","0%","High","100","0.11","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","bbq galore","USD","5000","-90%","-90%","High","95","0.19","1.30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","smoker","USD","500","900%","900%","High","100","0.13","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","electric smoker","USD","50","0%","0%","High","100","0.13","0.65","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","pellet smoker","USD","50","0%","0%","High","100","0.17","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","pellet grill","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","traeger","USD","500","0%","0%","High","99","0.13","0.21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","pitboss","USD","500","0%","0%","Medium","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","z grill","USD","50","0%","0%","High","86","1.65","5.19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","campchef","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","weber","USD","5000","0%","0%","High","100","0.17","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","bbq","USD","5000","0%","0%","High","100","0.10","0.36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","bbq galore","USD","5000","0%","0%","High","97","0.17","1.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","smoker","USD","500","0%","0%","High","100","0.13","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","electric smoker","USD","50","0%","-90%","High","100","0.15","0.72","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","pellet smoker","USD","500","0%","0%","High","100","0.13","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","pellet grill","USD","50","0%","0%","High","100","0.27","0.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","traeger","USD","500","0%","0%","High","99","0.13","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","pitboss","USD","500","0%","0%","Medium","64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","z grill","USD","50","0%","0%","High","74","1.57","3.98","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","campchef","USD","50","0%","0%","High","83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","weber","USD","5000","0%","0%","High","100","0.18","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","bbq","USD","5000","0%","0%","High","100","0.12","0.42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","bbq galore","USD","5000","0%","0%","High","98","0.15","0.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","smoker","USD","500","0%","0%","High","100","0.13","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","electric smoker","USD","500","0%","0%","High","100","0.15","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","pellet smoker","USD","500","0%","0%","High","100","0.15","0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","pellet grill","USD","50","0%","0%","High","100","0.12","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","traeger","USD","50","0%","0%","High","100","0.15","0.26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","pitboss","USD","50","0%","0%","Low","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","z grill","USD","50","0%","0%","Medium","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","campchef","USD","50","0%","0%","High","80","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","weber","USD","500","0%","0%","High","100","0.15","0.76","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","bbq","USD","500","0%","0%","High","100","0.12","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","bbq galore","USD","500","0%","0%","High","90","0.16","0.89","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","smoker","USD","50","0%","0%","High","100","0.12","0.63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","electric smoker","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","pellet smoker","USD","50","0%","0%","High","100","0.13","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","pellet grill","USD","50","-100%","-100%","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","traeger","USD","5000","0%","0%","High","100","0.13","0.23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","pitboss","USD","5000","0%","0%","High","68","0.27","1.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","z grill","USD","5000","0%","0%","High","80","1.73","5.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","campchef","USD","500","0%","0%","High","100","0.09","0.39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","weber","USD","50000","0%","0%","High","100","0.20","1.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","bbq","USD","50000","0%","0%","High","100","0.11","0.47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","bbq galore","USD","500000","0%","0%","High","100","0.17","1.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","smoker","USD","5000","0%","0%","High","100","0.13","0.77","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","electric smoker","USD","5000","0%","0%","High","100","0.14","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","pellet smoker","USD","5000","0%","0%","High","100","0.15","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","pellet grill","USD","500","0%","0%","High","100","0.24","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","pellet grill","USD","500","0%","-90%","High","100","0.26","0.70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","pellet smoker","USD","5000","900%","900%","High","100","0.15","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Victoria Australia","pitboss","USD","500","0%","0%","High","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","pellet grill","USD","500","0%","0%","High","100","0.25","0.90","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","pellet smoker","USD","5000","0%","0%","High","100","0.16","0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"New South Wales Australia","pitboss","USD","500","0%","0%","High","78","0.32","1.24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","pellet grill","USD","500","0%","-90%","High","100","0.23","0.81","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","pellet smoker","USD","5000","0%","0%","High","100","0.13","0.67","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queensland Australia","pitboss","USD","500","0%","0%","Medium","59","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","pellet grill","USD","50","0%","0%","High","100","0.21","0.79","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","pellet smoker","USD","500","0%","0%","High","100","0.14","0.64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Australia","pitboss","USD","500","0%","0%","High","70","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","pellet grill","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","pellet smoker","USD","50","0%","0%","High","100","0.13","1.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Territory Australia","pitboss","USD","50","0%","0%","Low","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","pellet grill","USD","50","0%","0%","High","100","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","pellet smoker","USD","50","0%","0%","High","100","0.17","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tasmania Australia","pitboss","USD","50","0%","0%","High","93","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","pellet grill","USD","50","0%","0%","High","100","0.27","0.88","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","pellet smoker","USD","500","0%","0%","High","100","0.13","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"South Australia","pitboss","USD","500","0%","0%","Medium","50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","pellet grill","USD","50","0%","0%","High","100","0.12","0.74","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","pellet smoker","USD","500","0%","0%","High","100","0.15","0.57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perth Australia","pitboss","USD","500","0%","0%","Medium","64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","pellet grill","USD","50","-100%","-100%","Unknown","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","pellet smoker","USD","50","0%","0%","High","100","0.13","0.58","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Townsville","pitboss","USD","50","0%","0%","Low","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","pellet grill","USD","500","0%","0%","High","100","0.24","0.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","pellet smoker","USD","5000","0%","0%","High","100","0.15","0.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Australia","pitboss","USD","5000","0%","0%","High","68","0.27","1.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""